,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006787300109863281,0.001072542888793814,0.002147960662841797,5.8559291797964995e-05,gini,3,1,1,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
1,0.007294511795043946,0.001171197897797206,0.002329444885253906,0.0005911357693007069,gini,3,1,1,10,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
2,0.006476163864135742,0.00037245154910197693,0.002298736572265625,0.0004947792866205324,gini,3,1,1,12,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 12}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
3,0.006436204910278321,0.0006817169701596514,0.002155303955078125,0.00016845145779957558,gini,3,1,1,18,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 18}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
4,0.006484699249267578,0.00039750815203627894,0.0022462844848632813,0.000362007962073406,gini,3,1,1,20,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
5,0.006933021545410156,0.0002765841477817923,0.0025176048278808595,0.000396752545885264,gini,3,1,1,30,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 30}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
6,0.007532882690429688,0.0005383829261652779,0.0026686668395996095,0.00015618112341015872,gini,3,1,1,40,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 40}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
7,0.007076406478881836,0.0006171604363632904,0.002632474899291992,0.0004527973595875786,gini,3,1,3,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 8}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
8,0.007681131362915039,0.0005066129677511054,0.0028639793395996093,0.0003169169167217752,gini,3,1,3,10,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
9,0.007410717010498047,0.0008363509719136908,0.002566099166870117,0.0004551389818058813,gini,3,1,3,12,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 12}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
10,0.008063650131225586,0.0008042421881041053,0.002382373809814453,0.0004807289710701521,gini,3,1,3,18,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 18}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
11,0.007112360000610352,0.0008047512867523922,0.0026927947998046874,0.0005738860023164802,gini,3,1,3,20,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 20}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
12,0.006515312194824219,0.00033058953391402297,0.002204275131225586,0.0003041095136642792,gini,3,1,3,30,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 30}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
13,0.007302188873291015,0.0017916819549615728,0.0028367042541503906,0.0011343857980042552,gini,3,1,3,40,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 40}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
14,0.00934457778930664,0.0021979178575715456,0.0031669139862060547,0.0008893104660134531,gini,3,1,5,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 5, 'min_samples_split': 8}",0.7724077328646749,0.772207563764292,0.783641160949868,0.7458223394898856,0.7546174142480211,0.7657392422633483,0.01361737652478184,12097
